42	101348.88
41	112542.58
42	113931.57
39	93826.63
43	79084.1
44	149756.71
50	10062.8
29	119346.88
44	74940.5
27	71725.73
31	80181.12
24	76390.01
34	26260.98
25	190857.79
35	65951.65
45	64327.26
58	5097.67
24	14406.41
45	158684.81
24	54724.03
41	170886.17
32	138555.46
38	118913.53
46	8487.75
38	187616.16
25	124508.29
36	170041.95
44	38433.35
43	100187.43
29	53483.21
39	140469.38
36	156731.91
41	81898.81
42	34410.55
29	142033.07
45	27822.99
31	114066.77
33	98453.45
36	40812.9
41	178074.04
40	70154.22
51	181297.65
61	94153.83
49	194365.76
61	158338.39
32	126517.46
27	119708.21
39	117622.8
38	90878.13
37	194099.12
44	198059.16
36	86424.57
33	116978.19
41	164040.94
42	40014.76
43	113410.49
45	87107.57
19	45613.75
66	1643.11
51	46775.28
35	84509.57
27	126494.82
33	178798.13
56	99398.36
26	92840.67
36	27758.36
34	110431.51
43	196673.28
35	113656.85
21	18203.0
58	28373.86
29	33953.87
37	44203.55
25	58426.81
36	145562.4
21	22388.0
55	139161.64
32	148210.64
33	194239.63
41	98301.61
34	171413.66
32	136458.19
36	26019.59
34	159235.29
46	1907.66
75	114675.75
22	128643.35
30	151869.35
46	93251.42
28	156791.36
44	174205.22
45	147132.46
36	109614.57
29	172290.61
42	85982.47
35	121277.78
41	64595.25
29	197276.13
22	99645.04
34	6534.18
40	161848.03
44	167162.43
31	41970.72
36	60536.56
65	177655.68
46	30984.59
32	10054.53
36	36976.52
33	71862.79
35	99449.86
30	63082.88
39	27231.26
42	86797.41
36	22994.32
28	101300.94
30	74169.13
37	115638.29
41	31766.3
31	199725.39
34	120834.48
34	38131.77
39	100130.95
39	141069.88
48	198129.36
28	183646.41
42	110265.24
52	8636.05
56	46824.08
41	171378.77
24	167256.35
34	124226.16
33	114935.21
38	35608.88
25	16459.37
39	124411.08
50	34941.23
34	167784.28
40	93165.34
48	75161.25
35	8590.83
44	189543.9
34	180427.24
43	193318.33
52	159123.82
31	126213.84
21	54141.5
29	141075.51
37	24495.03
44	74836.34
32	878.87
32	89520.75
48	149892.79
42	180800.42
37	98646.22
43	109041.53
57	17941.16
33	82996.47
28	92067.35
73	104719.66
33	112687.57
22	84699.56
30	83473.82
49	47125.11
36	106977.8
29	55582.54
31	139874.43
24	162503.48
41	196499.96
39	40721.24
24	53134.3
29	164017.89
27	155996.96
44	5472.7
30	112187.11
40	146457.83
35	27286.1
30	130553.47
36	179351.89
40	94774.12
55	8080.85
45	19482.5
65	48071.61
45	174531.27
42	55470.78
50	8546.87
32	95857.18
39	194945.8
37	131521.72
30	196108.51
34	148564.76
41	92982.61
36	17675.36
40	114996.43
32	86957.42
29	128077.8
35	600.36
